State,Pistol,Revolver,Rifle,Shotgun,Derringer,Machinegun,Receiver/Frame,Combination Gun,Unknown Type,Silencer,Any other Weapon,Destructive Device,Flare Gun,Tear Gas Launcher,Total
AL,3579,1069,649,502,61,17,7,2,3,0,1,1,0,0,5891
AK,361,117,143,76,4,4,5,2,2,0,0,0,0,0,714
AZ,4260,1057,1400,786,56,20,11,5,9,0,2,4,0,0,7610
AR,472,159,171,104,9,7,1,1,2,1,5,1,0,0,933
CA,15570,6710,7501,4350,278,121,265,29,43,8,10,3,2,0,34890
CO,1919,541,550,321,34,13,0,3,1,2,3,1,1,0,3389
CT,646,288,280,142,14,11,435,2,1,3,0,8,0,0,1830
DE,522,187,120,111,8,0,0,1,0,0,0,0,0,0,949
DC,791,324,119,100,7,0,0,2,1,0,0,1,0,0,1345
FL,11238,3761,2522,1762,205,17,35,7,22,1,4,14,3,1,19592
GA,6984,1963,1266,898,79,20,4,4,11,4,3,5,0,0,11241
HI,45,23,35,16,1,2,5,0,1,0,0,0,0,0,128
ID,385,105,200,113,8,10,7,1,4,1,0,0,0,0,834
IL,6394,2716,1121,1035,127,9,144,4,12,0,2,3,1,0,11568
IN,3500,863,599,543,59,14,4,0,1,2,1,1,0,0,5587
IA,730,186,249,268,19,5,1,2,0,0,1,0,0,0,1461
KS,1298,302,365,252,22,1,5,0,0,1,2,0,0,0,2248
KY,1777,544,452,305,38,6,4,3,14,1,3,18,0,0,3165
LA,4306,1214,938,688,45,12,2,1,4,0,0,2,0,1,7213
ME,132,51,79,44,4,1,0,2,1,0,0,2,0,0,316
MD,3058,1374,1746,1405,55,17,28,13,3,0,5,0,1,1,7706
MA,857,367,179,107,19,3,2,1,2,0,1,0,0,0,1538
MI,3207,1028,839,714,35,46,126,4,4,13,4,3,1,0,6024
MN,1258,352,462,331,17,4,1,3,1,0,0,0,0,0,2429
MS,1550,465,332,248,25,12,2,2,0,0,2,1,0,0,2639
MO,3050,729,666,467,39,10,2,7,5,0,1,0,0,0,4976
MT,220,66,127,50,5,0,0,1,0,0,0,0,0,0,469
NE,520,157,195,214,9,2,3,1,1,1,1,0,0,0,1104
NV,1802,554,415,259,26,75,24,2,2,0,2,4,0,0,3165
NH,122,58,54,20,0,1,0,0,0,0,1,0,0,0,256
NJ,2129,1023,414,353,29,32,5,3,6,0,0,0,0,0,3994
NM,783,217,397,219,17,7,1,0,1,0,2,0,0,0,1644
NY,3793,1756,1137,869,89,16,14,1,11,0,0,0,0,0,7686
NC,5506,1913,1686,1474,119,20,8,4,5,2,5,1,0,0,10743
ND,438,155,415,278,12,3,2,1,3,0,1,0,0,0,1308
OH,6204,1882,1086,988,96,27,10,5,7,24,3,1,0,0,10333
OK,765,227,302,165,10,10,2,0,0,2,1,1,0,0,1485
OR,1666,568,1037,457,42,11,15,5,5,2,0,1,0,3,3812
PA,4848,1676,1384,908,71,9,6,14,11,1,1,0,0,0,8929
RI,225,90,64,42,3,0,11,1,0,0,0,0,0,0,436
SC,2330,769,494,433,33,2,3,1,2,0,0,0,0,0,4067
SD,88,28,68,57,2,6,0,1,0,0,2,0,0,0,252
TN,3044,1081,913,656,96,24,3,3,11,0,6,1,1,0,5839
TX,8977,2329,2510,1906,115,46,51,6,21,6,4,4,1,1,15977
UT,590,141,242,117,11,6,2,0,0,0,0,1,0,0,1110
VT,71,30,42,18,0,0,0,0,0,0,0,0,0,0,161
VA,4057,1106,1101,741,66,13,18,5,4,5,2,9,0,2,7129
WA,1890,563,798,404,26,9,5,3,3,1,1,3,0,0,3706
WV,396,156,226,132,16,5,1,1,0,0,0,0,0,0,933
WI,2121,544,527,443,27,3,12,1,3,0,1,0,1,1,3684
WY,83,41,66,31,1,0,0,0,0,0,2,0,0,0,224
GU/MP,9,9,3,8,0,0,0,0,0,0,0,0,0,0,29
PR,886,144,167,37,8,8,9,0,2,0,0,0,0,0,1261
VI,110,21,1,3,0,0,0,0,0,0,0,0,0,0,135
